A
CASTELLANO              QUECHUA                 AYMARA

Abajo                   Uray                    Aynacha

Abandonar               Sagerparina             Jaytjaña

Abarca                  Huisku                  Wuiskhu

Abeja                   Wayrurongo              Wayronkgo

Abertura                Jusku, laja             Ccajlla

Abierto                 Kichaskka               Histtarata

Abogado                 Rimigatajg              Atamarapiri

Abortar                 Sulluna                 Sulluña

Aborto                  Sullo                   Sullu

Abrazo                  Ujllana                 Khomanta

Abrevadero              Ujyana                  Umawi

Abrir                   Kichana                 Jhistaraña

Abrojo                  Kkipu                   Kipu

Abuelo                  Awichu                  Achachila

Abundar                 Askjga                  Hualija

Acabado                 Tucuchaskka             Tukustata

Acabar                  Tucuy                   Tucuyaña

Acabarse                Tucucun                 Tucusi 

Acabarse                Tukusga                 Tukusiña

Acaparador              Riscataj                Catuquipa

Acariciar               Munarana                Muñaraña

Acarrear                Astana                  Astaña

Acaso                   Icha                    Ichas

Accidente               Pailla                  Jhupañaqui

Acercar                 Kaillachina             Jhakkachaña

Aclarar                 Suttichaskga            Khantata

Acondicionar            Allichana               Kkacharaña

Acongojar               Llaquichina             Llaquiyaña

Aconsejar               Kunsejana               Yuicaña

Acortar                 Juchuyyachina           Hiscaptayaña

Acostarse               Puñuycuna               lquintasiña 

Adelante                Ñaupajpi                Nairakkata

Afuera                  Jahuapi                 Ankcaru

Agacharse               Kumpucuna               Altaña

Agua                    Yaku                    Uma

Ahora                   Kunan                   Hicha

Ahorcar                 Sipina                  Haichcataña

Aire                    Wuayra                  Thaya

Airear                  Wuayrachina             Thajteyaña

Ajeno                   Wajpat                  Yakgan

Aji                     Uchu                    Waica

Ala                     Lijra                   Chekja

Alabancioso             Alabacujg               Yupaychasiri

Alabar                  Yupaychana              Yupaychaña

Alargar                 Hatunyachina            Hilayaña

Alba                    Tuta-Tuta               Pacha-Khantati

Alborear                Sutiyay                 Khantati

Alcanzar                Jayuana                 Lukktaña

Alcanzarse              Jaywacuna               Lukktasiña

Alcón                   Mamani                  Mamani

Aldea                   Llajta                  Marca

Aldeano                 Llajtmanta              Marcanquiri

Alegrar                 Kusichina               Cusisiyaña

Alegrarse               Kusicuna                Qusisiña

Alegre                  Kusiskga                Cusisita

Alejarse                Caruchacuna             Hayachasiña

Algodón                 Khia                    Khia

Alguno                  Pipas                   Quitisa

Aliento                 Samana                  Samaña

Alimentar               Mikuchina               Mankayaña

Alimento                Mikuy                   Mankka

Aliviar                 Allinyana               Waliptayaña

Allá                    Jakgaypi                Kaya

Alma                    Mulla                   Ajayu

Almohada                Sanhuana                Chigmaña

Alojado                 Paskaskka               Kkurpachata

Alojamiento             Pascana                 Kkurpa

Alpaca                  Allpaka                 Alpaga

Alquilar                Arrendana               Inachaña

Alquilarse              Arrendacuna             Inachasiña

Alumbrar                Kanchachina             Kantayaña

Amado                   Munaskka                Munata

Amancebado              Amancebaskka            Sipasini

Amanecer                Pakkarin                Khantati

Amanecerse              Pakkarina               Khatatasiña

Amar                    Munayi                  Munaña

Amargo                  Kallcu                  Kallku, Jaru

Amarillento             Quelluyaskga            Killuptata

Amarrar                 Watana                  Chinuña

Amarrarse               Watakuna                Chinusiña

Amarse                  Munacuna                Munasiña

Amasar                  Ñatuna                  Natunaña

Ambos                   Iskaynin                Purapa

Amén                    Jinacachun              Ukamaraquipanay

Amigo                   Rejsisga                Wintata

Amo                     Tata                    Tata

Amontonar               Muntunaskka             Kolluchaña

Amoroso                 Munacuj                 Munasiri

Añadir                  Yapana                  Yapaña

Anciana                 Awicha                  Awicha

Anciano                 Awichu                  Achachila

Andando                 Purisaspa               Sarasa

Andar                   Purina                  Saraña

Andes                   Anti                    Antis

Anillo                  Siwi                    Sini

Animal                  Uywa                    Uywa

Año                     Wata                    Mara

Año nuevo               Mosoj huata             Machacmara

Anoche                  Kgaina-tuta             Masayppu

Anochecer               Chisiyan                Haippthapi

Anteanoche              Kanimppachisi           Hualayppu

Anteayer                Kkanimpa-punchay        Hualuru

Antepasados             Machucuna               Achachilasanaka

Antes                   Inan                    Naira

Anunciar                Yachachina              Isapaña

Anunciarse              Wuillana                Atañaña

Apagar                  Wuñuchina               Hihuarayaña

Aparecer                Rikuriskga              Unttaña

Apartar                 Laquina                 Laquiña

Aplanar                 Pampachana              Pampachaña

Apolillado              Thutaskka               Thuthata

Apolillar               Thuthana                Thuthaña

Aprender                Yachakgana              Yatiña, Yategaña

Aprendido               Yachana                 Yatita, Yatigata

Apretar                 Nitti                   Linittaña

Aprieto                 Matti                   Matti

Aprisionar              Wuataycuna              Chinuntaña

Aproximar               Kkaillachana            Hacachaña

Apto                    Kuti                    Chiki

Apurado                 Uskkaychaskga           Jhankkachata

Apurar                  Uskkaychana             Jankkachaña

Aquel                   Jakgay                  Khuri

Aquí                    Kaipi                   Acwa, Akaru

Arado                   Yunta                   Taclla

Araña                   Kusi-Kusi               Uru, Kusukusi

Arañar                  Llauchina               Hattiña

Arbol                   Sacha                   Khokga

Arbusto                 Chumi                   Chumi

Arcilla                 Llinqui                 Ñinqui

Arco-Iris               Kurmi                   Curumi

Arder                   Laurai                  Nakhi

Arena                   Challa                  Challa

Arenoso                 Challarana              Challani

Arido                   Kara                    Kara

Arinoso                 Khini                   Khini

Arrancar                Sikina-Thirana          Ttacaña

Arrastrar               Kkatatina               Kkatatina

Arrear                  Katina                  Anaquita

Arreglado               Allinchaska             Asquichata

Arrepentirse            Puticuna                Phutisiña

Arriba                  Huichay-Pata            Alaya

Arriero                 Jkatec runa             Khumuri

Arrinconar              Aptapina                Kuchkataña

Arrodillarse            Kgongorikuna            Killtasiña

Arroyo                  Juchuy mayu             Hiska Jhahuira

Arruga                  Sirki                   Sirki

Asa                     Japina                  Catuña

Asado                   Kanka                   Kanka

Asarse                  Kankacuna               Kankasiña

Asco                    Millana                 Milasiña

Asear                   Llimpichana             Kkumachaña

Asesinar                Wuañuchina              Jiwayaña

Asesino                 Wuañuchej               Hiwayiri

Así                     Jina                    Ukhama

Asiento                Tiana                    Konuña

Asno                    Asnu                    Asnu

Asomar                  Chimpana                Kolluyana

Aspero                  Taku                    Ttakhu

Asqueroso               Millacuna               Millasiña

Asta                    Huajgra                 Huajgra

Asustar                 Sustuchina              Sustjayaña

Atado                   Huataskka               Chinuta

Atajar                  Jarkana                 Jarkaña

Atar                    Huatana                 Chinuña

Atemorizar              Manchachina             Ajgsarayaña

Atestar                 Chillaycuna             Chillantaña

Atrapar                 Jhappipayana            Kattahapiña

Atrás                   Kjepaman                Kjiparu

Atrasado                Kjepariskga             Kjhiparata

Aumentado               Yapaskka                Irjatata

Aumentar                Yapana                  Irjataña

Aurora                  Pakgarin                Kantaturu

Autor                   Rurajg                  Luriri

Auxilio                 Kyuyapayana             Kyuyapayaña

Avaricia                Micha                   Micha

Avergonzarse            Pinkkacuna              Ppinkkasiña

Avisar                  Huillana                Atamaña

Ayer                    Kkayna                  Masuru

Ayuda                   Yanapa                  Yanapa

Ayudante                Yanapacujg              Yanapiri

Ayudar                  Yanapana                Yanapaña

Azotar                  Sekkuna                 Haugjaña

