B

CASTELLANO              QUECHUA                 AYMARA

Bachiller               Rimayniujg              Aructara

Bailar                  Tusuna                  Thukkuña

Bailarín                Tusuj                   Thukkuri

Bajando                 Urakaspa                Sarakkasa

Bajar                   Apakkana                Apakkaña

Balanza                 Aisana                  Huayuña

Balazo                  Illappa                 Illappu

Balear                  Illapana                Illapana

Balsa                   Llampu                  Yuampu

Bañarse                 Mayllakuna              Harisiña

Bandera                 Wiphala                 Wiphala

Baño                    Tuyuna                  Hunttuña

Barato                  Pisillapajg             Pistaqui

Barbudo                 Sunkharara              Sunkharara

Barrer                  Pichana                 Pichaña

Barrerse                Pichacuna               Pichasiña

Barrido                 Pichaskka               Pichata

Barro                   Tturu                   Ñikki

Baston                  Thuncu                  Thujro

Basura                  Kgoppa                  Thuna

Batan                   Kuttana                 Kutaña

Batir                   Pituna                  Pituña

Bautizado               Sutiyoj                 Sutiyata 

Bautizar                Sutichurana             Sutiyaña

Beber                   Ucyana                  Umaña

Becerro                 Waca-ppura              Waca-kallu




Bejiga                  Yakkallachi             Yakkallachi

Besar                   Muchana                 Hamphatita

Besarse                 Muchacuna               Hamphatisiña

Bien                    Cusa                    Asqui

Bigote                  Sunkha                  Sunkha

Blanco                  Yuraj                   Hankko

Blando                  Kgoña                   Llampu

Boca                    Simi                    Laca

Bofetada                Thajllana               Thajllana

Bolsa                   Mari                    Huallquepu

Bonito                  Kachitu                 Huwitaqui

Borracho                Machaskka               Umata

Borrar                  Phiscuna                Huaclliana

Botar                   Wijgchuna               Haktaña

Brasa                   Kjaja                   Zanka

Brazo                   Maqui                   Ampara

Brincar                 Ttiscuna                Ttiscuña

Brujo                   Laikka                  Laykga

Bueno                   Allin                   Asqui

Buho                    Jucu                    Jucu

Bulla                   Chajghuana              Chajghuaña

Burla                   Phisca                  Sanca

Burro                   Asnu                    Asnu

Buscado                 Maskaskga               Thajata

Buscar                  Maskana                 Thajaña
