C

CASTELLANO              QUECHUA                 AYMARA

Cabalgar                Llogana                 Lattjataña

Cabaña                  Chujlla                 Uywa iquiña

Cabello                 Chujgcha                Ñicuta

Cabeza                  Uma                     Ppekke

Cadaver                 Aya                     Amaya

Caer                    Urmana                  Tinkuña

Caerse                  Urmacuna                Tinkusiña

Cagar                   Acana                   Jamaña

Caido                   Urmaskka                Tinkuta

Cal                     Katawi                  Katawi

Calavera                Aya uma                 Amay pekge

Caldera                 Payla                   Payla

Calentar                Kgoñichina              Huntuchaña

Calentura               Kgoñi onkgoy            Hunttu usu

Callar                  Chinyana                Amuki

Calor                   Kgoñi                   Hjuntu

Calumnia                Tumpay                  Tumpa

Calumniado              Tumpaskka               Tumpata

Calvo                   Kgara uma               Kgara pekke

Cama                    Puñuna                  Iquiña

Caminar                 Rina                    Saraña

Camino                  Ñann                    Thaqui

Camisa                  Khawa                   Phantta

Camote                  Apichu                  Apichu

Campana                 Calanca                 Calanca

Campo                   Pampa                   Patanakata

Canasta                 Balay                   Sappa

Cancha                  Cancha                  Ayu

Cansado                 Saykuskka               Karghata

Cansarse                Saykuna                 Karkasiña

Cantar                  Taquina                 Kgottasiña

Cántaro                 Yuru, Puñu              Huaculla, Puñu

Carbón                  Killima                 Killina

Cárcel                  Uata uta                Luna huana

Cardo                   Ttancar                 Kaara

Carga                   Carga                   Khumu

Cargar                  Chajnana                Khumuña

Caridad                 Kuyapayana              Kuyapayana

Cariñoso                Munacujg                Munasiri

Caritativo              Kuyapayaj               Kuyapayiri

Carnaval                Phujllay                Anata

Carpintero              Llajgmajg               Llajlliri

Carta                   Killkka                 Kiilkka

Casa                    Wuasi                   Uta

Casada                  Kjhariujg               Aynini

Casarse                 Kasaracuna              Kasarasiña, Jaqichasiña

Cáscara                 Sillppi                 Sillppi

Castaño                 Chumppi                 Chumppi

Castigar                Muttuchina              Muttuyaña

Castillo                Pucara                  Pucara

Castrado                Kapaskka                Carata

Causa                   Laicu                   Laicu

Cautivo                 Pacima                  Pakima

Cebo                    Wira                    Liki

Cejas                   Phichu                  Chipukku

Ceniza                  Uspha                   Khilla

Centro                  Chaupi                  Taipi

Cerca                   Kailla                  Haqui

Cerdo                   Kjuchi                  Kjuchi

Cerebro                 Ñucktu                  Lejwi

Cerquita                Kkaillitalla            Hakitaqui

Cerrado                 Wuiskkaskga             Histtata

Cerrar                  Wuiskkana               Histtaña

Cerro                   Urkku                   Kullu



Chacra                  Chajgra                 Yapu

Chicha                  Akjga                   Kusa

Chico                   Jhuchuy                 Hhiska

Chismoso                Rimacujg                Awiskuchi

Chocado                 Tupaskka                Tupata

Chocar                  Tupana                  Tupaña

Choclo                  Huilchi                 Huilchi

Cholo                   Misti                   Misti

Chorrear                Sttujg                  Chakkiri

Chosa                   Chujglla                Chujglla

Chupar                  Chonkgana               Chamuña

Cicatriz                Ttiri                   Ttiri

Ciego                   Ñausa                   Juyku

Cielo                   Janagpacha              Alajgpacha

Cien                    Pachaj                  Pataca

Cimiento                Takay                   Takay

Ciudad                  Jathun llajgta          Jacha marka

Claro                   Sutti                   Khana

Clavar                  Tacana                  Chacuntaña

Cobarde                 Kgewa                   Kiusa

Cocer                   Chayachina              Khatiaña

Cochino                 Khuchi                  Kuchi

Cocido                  Chayaskka               Khatita

Cocinar                 Waykuna                 Phayaña

Cocinero                Waykujg                 Phayiri

Coger                   Jhippina                Apiña

Cogido                  Jhappiskka              Apita

Cojear                  Wisttuna                Huancuña

Cola                    Chupa                   Uichinca

Colar                   Lippichina              Uallkacha

Colgado                 Warkuskga               Watiña

Colgar                  Warkuna                 Watita

Colocar                 Churana                 Uchaña

Colorado                Puca                    Chupica

Comarca                 Quita                   Quiti

Comentar                Parlakuna               Atamasiña

Comenzar                Khallarina              Kkalltaña

Comer                   Mikhuna                 Mankaña

Comerciante             Kjhatiri                Kjhatiri

Comida                  Mikhuy                  Manka

Compasivo               Kjhuyapapacuj           Kjhuyapasayiri

Completar               Huntana                 Phokkaña

Completo                Hunttaskka              Pokkata

Compra                  Ranti                   Alam

Comprar                 Rantina                 Alaña

Comprate                Ranticuy                Alasim

Comprender              Jahpikkana              Istaña

Comunicar               Willana                 Avvisaña

Comunidad               Ayllu                   Ayllu

Concluir                Tucuchana               Tucuyaña

Condor                  Kondur                  Kunturi

Conejo                  Kkuui                   Wanku

Congelado               Chullunkasga            Chulluta

Conocerse               Rejgsicuna              Uñttasiña

Consentir               Jina-nina               Iyausaña

Conservar               Wakaychana              Imaña

Contado                 Yupaskka                Jhakuta

Contar                  Yupana                  Jhakuña

Contarse                Yupacuna                Jhkusiña

Conversar               Parlana                 Aruchaña

Coral                   Mullu                   Mullu

Corazón                 Sunkku                  Chuima

Cordero                 Uwija                   Hiwisa

Cordón                  Cuyu                    Cuyu

Cornear                 Wajgrana                Wajgraña

Cornudo                 Wajgrayuj               Wajgrani

Correo                  Chasqui                 Khita

Correr                  Thijuna                 Jalaña

Cortado                 Khuchuskka              Kharita

