D

CASTELLANO              QUECHUA                 AYMARA

Dame                    Kgoway                  Churita

Dar                     Kkona                   Churaña

Debajo                  Urapi                   Mankhanki

Débil                   Llaychi                 Laytha

Decir                   Ninna                   Saña

Declarar                Suttiyachina            Khanachaña

Dedo                    Rukana                  Lukkana

Defender                Jhamachana              Jhamachaña

Degollar                Kgurui                  Kjgariña

Dejado                  Sakkiskka               Hhaitata

Dejar                   Sakkina                 Hhitaña

Delgado                 Ñanu                    Khichisa

Delicioso               Misky                   Mojgsa

Delirar                 Musphachi               Musphaña

Demente                 Loko                    Lokgie

Demonio                 Supay                   Aukka

Dentadura               Quirucuna               Laca-chaka

Dentro                  Ukjgu                   Mankjga

Derecha                 Paña                    Cupi

Derramar                Hichana                 Uaraña

Derrotado               Atipaskka               Atipata

Derrotar                Atipana                 Atipaña

Derrumbado              Urmasga                 Llojeta

Desaguar                Chaquichina             Pharayaña

Desaparecer             Chincana                Chcaktaña

Desarrollar             Wiñana                  Hilaña

Desatar                 Paskana                 Chiñuraña

Descansar               Samarana                Samaraña

Descansarse             Samaracuna              Samartasiña

Descargar               Kgeppirana              Kipikkaña

Descoser                Pascarana               Hhraraña

Descubrir               Tharina                 Hhanaraña

Desear                  Munapayana              Munapayaña

Desgracia               Taypa                   Chikhi

Desgranar               Muchana                 Muchaña

Deshonesto              Wachukka                Wachukka

Desierto                Ttiu ttui               Uasara

Desmayarse              Ttucurana               Ttucurana

Desnudo                 Kkala                   Kkala

Despacio                Allinllanta             Kachata

Despedido               Kacharpayaskga          Chejarpayata

Despedir                Kacharpayana            Chejarpayaña

Despertar               Rijcharina              Parjgtaña

Despierto               Rijgchascga             Ppargtasiña

Desportillado           Kkasa                   Kkasa

Despreciar              Pisirpayana             Pisirhakhuña

Después                 Khipa                   Ukhata

Desterrar               Karkona                 Carkuña

Destetar                Ttipina                 Ttakkaña

Desyerbar               Korarana                Kkuraña

Deuda                   Manu                    Manu

Día                     Punchay                 Uru

Diablo                  Sajgra                  Supaya

Diario                  Sapapunchai             Sapuru

Diarrea                 Kkechiria               Wila wichuchu

Dicho                   Niskka                  Sata

Diente                  Kiru                    Laka chaca

Diez                    Chunca                  Tunca

Difunto                 Aya                     Amaya

Digno                   Kamani                  Kamani

Diluido                 Chulluchaskka           Chulluchata

Dinero                  Kgolkge                 Kullkki

Dios                    Pachamac                Apu

Distinto                Wajg                    Yakjga

Distribuir              Chikkichana             Chiquichaña

Distrito                Suyu                    Ayllu

Doblar                  Sukuna                  Suczaña

Dolencia                Nanay                   Usu

Domar                   Mansana                 Mansaña

Doncella                Llumppa                 Llumppa

Donde                   Maipi                   Caukan

Dormir                  Puñuy                   Ikiña

Dos                     Iskay                   Paya

Duende                  Anchanchu               Anchanchu

Duro                    Thuru                   Kholo, thuru
