E

CASTELLANO              QUECHUA                 AYMARA

Ebrio                   Machaskka               Umata

Echado                  Jhichaskka              Warata

Echar                   Jhichana                Waraña

Eclipse                 lnti chincay            Inti hiwi

Edad                    Watanchijg              Marasa

Edificar                Perkgana                Pirkkaña

Educar                  Yachakachina            Yatichana

El                      Pay                     Hhupa

Elegido                 Ajgllaskka              Ajllita

Elegir                  Ajgllana                Ajlliña

Ellos                   Paicuna                 Hhupanaca

Embarazada              Chichu                  Uallke

Embarrar                Tturuchana              Ñikichaña

Embrujar                Laikgana                Laikkantaña

Embutir                 Chillana                Chillana

Empalagar               Amjhana                 Amjhaña

Emparejar               Khuskachana             Khuskachaña

Empedrar                Rumichaskka             Kalachata

Empezar                 Kgallana                Kjartaña

Empujar                 Tannkgana               Nukkuña, Nuktaña

Enamorar                Munapayana              Munapayaña

Enano                   Muttu egego             Timiri, ekeko

Encender                Jhapichina              Nactayaña

Encendido               Jhapichiskka            Nactayata

Encerrado               Wiskgaskga              Histantata

Encima                  Patapi                  Pathan

Encojer                 Thisthapina             Thistapiña

Encojido                Huchuykaskga            Thisthapita

Encontrar               Tarina                  Hhiquiña

Encontrarse             Tincucuna               Tincusiña

Encorvado               Kumppu                  Kumuntata

Encorvarse              Kumppucuna              Kumuntasiña

Encubrir                Pakaicuna               Imantaña

Endeudarse              Manuyacuna              Manjhasiña

Endulzar                Miskichana              Mujgsapatayaña

Endurecer               Thuruyachina            Thuruntayaña

Enemigo                 Aukka                   Aukka

Enfermedad              Onkguy                  Usu

Enfermo                 Onkgoskga               Usuri

Enflaquacido            Tulluyaskga             Ttukantata

Enflaquecer             Tulluyana               Ttukayaña

Enfriar                 Chirichana              Thayaraña

Engañar                 Llullapayana            Karipayaña

Engordar                Wirayana                Likiptaña

Engrandecer             Hathunyachina           Jachaptayaña

Enloquecer              Lokoyana                Lukhiptaña

Enmudecer               Chinyana                Amutaña

Enojarse                Phiñayacuna             Kapisiña

Enrriquecer             Khapajgyana             Kkamirttaña

Ensebar                 Wirachana               Likichaña

Enseñar                 Yachachina              Yatichaña

Ensuciar                Chijllichanna           Kuchichiña

Enterrador              Paampaj                 Imiri

Enterrar                Pampana                 Imaña

Entierro                Ppanpana                Imaniña

Entonces                Chaypacha               Ucapacha

Entrada                 Yaicuna                 Mantaña

Entrar                  Yaykuy                  Mantaña

Entregar                Jhappichina             Catuyaña

Entremezclar            Chajgrukipana           Chajgrukipaña

Entreverar              Chajgruna               Chajgruña

Envano                  Kasi                    Cassiqui

Envejecer               Machuyana               Achichmukuña

Envejecido              Thanthaskga             Thanthata

Enviado                 Kachaskga               Khitata

Enviar                  Kachana                 Khitiña

Envidia                 Pintuna                 Phintuna

Envolver                Kiruycuna               Kiruntaña

Envuelto                Kiruycuskga             Kiruntata

Equivalente             Chanillan               Chanipa

Equivocarse             Pantana                 Pantjasiña

Escabar                 Allana                  Llamayuña

Escalera                Patapata                Patapata

Escalofrío              Khatati                 Khatati

Escalón                 Pata                    Pata

Escapar                 Phawana                 Thijuña

Escarchar               Chullai                 Sulla

Escarmentar             Wanachana               Wanachaña

Escaso                  Pisi                    Hhuka

Esclarecer              Suttichana              Kjananchaña

Esclavo                 Pongo                   Pungu

Escoba                  Pichana                 Pichaña

Escocer                 Sejgsi                  Hhasi

Escoger                 Ajkllana                Lakiña

Escogido                Ajkllasga               Lakita

Esconder                Pacaicuna               Imantaña

Escondido               Pacaskka                Imantata

Escondite               Pakacuna                Imantasiña

Escribir                Kellkkana               Killkkaña

Escrito                 Kellkkaska              Kkilkkata

Escuchar                Uyayrina                lstaña

Escupir                 Thogana                 Thusaña

Ese                     Jakkay                  Khuri

Espalda                 Huassa                  Iwhani

Esparcir                Thacana                 Williña

Espejo                  Rirpu                   Lirpu

Esperanza               Suyay                   Suyaña

Esperar                 Suyana                  Suytaña

Espesar                 Sankhuchana             Khusuchaña

Espeso                  Sankhu                  Khusu

Espina                  Kiskga                  Chapi

Esposa                  Wuarmi                  Wuarmi
 
Esposo                  Kgosa                   Chacha

Espuma                  Pusuku                  Phussukku

Esquina                 Kuchu                   Kuchu

Estacar                 Chacuru                 Chacuru

Estaño                  Titi                    Causi

Estanque                Thojo                   Kuuña

Estar                   Kaskai                  Ucanquir

Estatua                 Huanca                  Huaca

Este                    Kay                     Aka

Estiercol               Huanu                   Huanu

Estirar                 Aysana                  Hiskhaña

Estómago                Wigssa                  Pucara

Estornudar              Jachina                 Jachina

Estos                   Kkaicuna                Akanaca

Estrangular             Sipina                  Haichcataña

Estrecho                Kullku                  Kullku

Estrella                Kkillur                 Wara

Eterno                  Wiñay                   Wiñay

Exceder                 Yallina                 Yalliña

Excelente               Sumajg                  Kullana

Existir                 Kausana                 Hhakaña

Experimentado           Kausayniojg             Yatiñani

Explosivo               Thojyajg                Pphalliri

Exprimir                Chiruana                Chiruana

Exterminar              Wañurachina             Wañurachina

Extraño                 Uajg                    Causi

Extremo                 Cantu                   Thia
