F

CASTELLANO              QUECHUA                 AYMARA

Faja                    Chumpi                  Uakata

Fajar                   Chumpina                Uakaña

Fallecer                Wañuna                  Hiuana

Fe                      Innii                   Yyausaña

Feo                     Millana                 Ajgkataña

Fermentar               Ppuskkuna               Ppuskkuña

Fétido                  Asna                    Thujgsa

Fiarse                  Manucuna                Manttasina

Filo                    Ari                     Ari

Flaco                   Tullu                   Kolo

Flauta                  Pinquillu               Pinquillu

Flecha                  Guachou                 Michi

Flema                   Llausa                  Llausa

Flojo                   Kella                   Hhaira

Flor                    Thika                   Iquilla

Flotar                  Tuyuna                  Tuyuña

Fogón                   Kuncha                  Khiri

Fortuna                 Sami                    Sami

Forzudo                 Kallpayojg              Chamani

Frío                    Chiri                   Thaya

Fuego                   Nina                    Nina

Fuera                   Haua                    Ankka

Fumar                   Pitana                  Pitaña
