G

CASTELLANO              QUECHUA                 AYMARA

Gallina                 Huallpa                 Huallpa

Gallo                   Kgankga                 Yallu

Ganado                  Uyua                    Uyhua

Ganar                   Atipana                 Atipaña

Garbanzo                Miu                     Miu

Garganta                Tunkkuru                Tukkuru

Garra                   Sillu                   Sillu

Garrote                 Kupana                  Kupana

Garza                   Huakkar                 Huakkar

Gastador                Tucuycuyjg              Tucuntid

Gastar                  Tucuna                  Tucuña

Gatear                  Kumpuna                 Kumpuna

Gato                    Michi                   Phisi

Gavilán                 Mamani                  Mamani

Gemir                   Arjkena                 Ttinina

Generoso                Khuyapayaj              Khuyapaya

Gente                   Runa                    Hhake

Gesto                   Yachapayay              Winakaña

Gigante                 Jhatumpacha             Hachatansa

Girar                   Muyuna                  Muyuña

Gobernador              Kamachej                Camachiri

Golondrina              Sillanki                Sillanki

Golpe                   Taca-taca               Taca

Gordo                   Wira                    Liki

Gorro                   chulu                   Lluchu

Gota                    Suttu                   Chakka

Grande                  Jhatun                  Hachcha

Granero                 Pirwa                   Pirwa

Granizo                 Chijchi                 Chiskchi

Gritar                  Kkaparina               Arttaña, Warariña

Grueso                  Rakhu                   Lankku

Guanaco                 Huanacu                 Huanacu

Guano                   Huanu                   Huanu

Guardar                 Wagaychana              Imaña

Gusano                  Kuru                    Lakku
