H

CASTELLANO              QUECHUA                 AYMARA

Hábil                   Amauta                  Amauta

Habitante               Tiajg                   Uthihiri

Hablar                  Parlana                 Parlaña

Hacer                   Ruwana                  Luraña

Halcón                  Mamani                  Mamani

Hallar                  Taricuna                Hhiquisiña

Hallar                  Tarina                  Hiquiña

Hambre                  Yarakgay                Autjhi

Harina                  Jhaku                   Jhaku

Hartado                 Sagsasga                Sisata

Harto                   Asgja                   Hualgja

Hechicero               Laikka                  Laikka

Hechizado               Laikkaska               Laikkata

Hediondo                Asna                    Thujgsa

Helar                   Chiri                   Thayaña

Hermana                 Pana                    Kullaka

Hermano                 Wakke                   Hhila


Hervido                 Thimpuskka              Uallakkita

Hervir                  Thimpuy                 Uallakki

Hierba                  Kkora                   Kkura

Hierro                  Khilla                  Khilla

Higado                  Chilla                  Chilla

Hijo                    Churi                   Yukka

Hilar                   Puscana                 Kkapuña

Hilarse                 Phugcacuna              Kapusiha

Hilo                    Kgaytu                  Chanca

Hombre                  Kgari                   Chacha

Honda                   Waraka                  Kurawa

Hondear                 Warakana                Kurawaña

Horca                   Sipina                  Haichawi

Hormiga                 Sikimira                Kisimiri

Horrible                Manchay                 Millaña

Hospedar                Uajyarina               Akirpachaña

Hoy                     Kunan punchay           Hiichuru

Hoyo                    Phujgru                 Phutuncu

Hueco                   Jhuku                   Ppia

Huérfano                Huajcha                 Wuajcha

Huerta                  Muyu                    Muyaru

Hueso                   Tullu                   Chchaka

Huevo                   Runtu                   Kauna

Humedad                 Mukiskka                Mukirara

Humilde                 Sumaig sonkgo           Llampu chuima

Humillarse              Kumurayana              Kumurayana

Humo                    Kgosñi                  Hiki
