I

CASTELLANO              QUECHUA                 AYMARA

Idolatrar               Munacuna                Huacam patiña

Idolo                   Munakuskgay             Huaca

Impar                   Chulla                  Chulla

Indio                   Runa                    Hhakki

Infierno                Ukhupacha               Mankkipacha

Injuriar                Ayñana                  Tokkeña

Inmortal                Mana wañoj              Janihuiri

Inocente                Mana-Huachayujg         Hani-huchani

Insultar                Kamina                  Tukkiña

Intacto                 Jinapacha               Ukhampacha

Intestino               Chunchuli               Hhipilla

Invierno                Chirimita               Autipacha

Invisible               Mana rikukoj            Hani uñjcaña

Ir                      Rina                    Saraña

Iremos                  Risunchiig              Sarañani

Izquerda                Llokge                  Chikka
