J

CASTELLANO              QUECHUA                 AYMARA

Jefe                    Mallku                  Mallku

Jilguero                Chaiña                  Chaiña

Joven                   Huayna                  Wuayna

Jovencita               Sipasita                Tauakita

Jovencito               Huaynuchitu             Wuaynuchitu

Juego                   Pujllay                 Anata

Jugador                 Pujllajg                Anatiri

Jugar                   Phujllana               Anataña

Julio                   Chahuahuarki            Lrutaka

Juntos                  Kuskalla                Chicaqui
