L

CASTELLANO              QUECHUA                 AYMARA

Labio                   Simi                    Simiya

Ladera                  Kinray                  Irama

Ladrón                  Sua                     Lunthata

Lagartija               Hararankhu              Sutuhuailla

Lágrima                 Wagay                   Hacha

Laguna                  Kgocha                  Kkuta

Lamer                   Llajguana               Hallppaña

Lana                    Millma                  Ttaura

Lanza                   Chuqui                  Wiri

Largar                  Kacharina               Antutaña

Largo                   Jathun                  Hancha

Lastimar                Nanachina               Usuchaña

Lavado                  Thajgsaskka             Thajgsata

Lavar                   Thajgsana               Thaigsuña

Lazo                    Huatana                 Chinuña

Lechuza                 Chusikka                Chusikka

Legua                   Tupu                    Tupu

Lejia                   Llujta                  Llujta

Lejos                   Karu                    Hhaya

Leña                    Llantta                 Lawa

Lengua                  Khallu                  Lajgra

Lenguaje                Parlay                  Aru

León                    Puma                    Puma

Letra                   Sanampana               Sanampaña

Levantarse              Jatarikuna              Sartaña

Ley                     Kamachina               Camachita aru

Limar                   Khakhona                Khakhuña

Limpiar                 Llimpuchana             Kumachaña

Limpio                  Llimppu                 Kuma

Liviano                 Sjaalla                 Phisña

Llama-animal            Kkarhua                 Kkarhua

Llamar                  Uajyana                 Huasuña

Llano                   Pampa                   Pampa

Llanto                  Uakkai                  Hacha

Llegar                  Chayana                 Puriña

Lleno                   Huntta                  Phuka

Llevar                  Apana                   Apaña

Llevarse                Apacuna                 Apasiña

Llorar                  Uakkana                 Hachaña

Llover                  Parana                  Halluña

Lloviendo               Parascan                Halluski

Lombriz                 Sillkku                 Cuica

Lugar                   Pacha                   Pacha

Luna                    Killa                   Phajgsi

Lunar                   Anna                    Anna

Luz                     Sutti                   Khana
