M

CASTELLANO              QUECHUA                 AYMARA

Macho                   Urkku                   Urku

Madera                  Kaspi                   Kkiru-lahua

Madre                   Mama                    Taica

Madrina                 Sutiacujg               Sutiyir

Maduro                  Pukkuskka               Pukuta

Maestro                 Yachachijg              Yatichiri

Maiz                    Sara                    Tunkku

Mamar                   Ñuñuna                  Ñuñuna

Mañana                  Kaya                    Kharuru

Manejar                 Apaycachana             Apnakaña

Mano                    Maqui                   Ampara

Mar                     Kkuchamama              Mamakuta

Maravilla               Musphaskga              Musphaña

Maricón                 Kgeua                   Kgewicha

Marido                  Kgosan                  Chacha-uaina

Mariposa                Pilpintu                Taparacu

Marzo                   Paukkarhuaraj           Hupa llamayu

Mascar                  Khistuna                Khistuna

Masticar                Kauchina                Kauchina

Matar                   Uañuchina               Hiwaña

Mayo                    Aimurai                 Makaña

Mayor                   Kjuraj                  Hiliri

Mazamorra               Api                     Hucha

Mear                    Jispana                 Chujuña

Mearse                  Jispaykukuna            Chhujusiña

Medicarnento            Hampi                   Khullu

Medicina                Hampina                 Kkullana

Médico                  Hampej                  Kkulliri

Medida                  Tupu                    Tupu

Medio                   Chaupi                  Taipi

Medir                   Tapuna                  Tapuña

Mellizo                 Chullayoj               Pachawawa

Memoria                 Yuyay                   Amjhasiña

Mendigar                Mañakuna                Huajgttasiña

Mendigo                 Mañakoj                 Huajgttasiri

Menor                   Sullka                  Sullka

Menos                   Pisi                    Pisi

Mensual                 Sapa killa              Sapa phajgsi

Mentir                  Llullakuna              Karisiña

Menuda                  Ttuna                   Ttuna

Mercado                 Khatu                   Khatu

Mes                     Killa                   Phajgsi

Mestizo                 Mistti                  Mistti

Mestruar                Hampis                  Kkullas

Meter                   Apaicuna                Apantaña

Metido                  Apaykuskga              Apantata

Mezclar                 Chajruna                Chagjruru

Mezquino, avaro         Micha                   Micha

Miedo                   Manchacuna              Ajhsaraña

Miel                    Miski                   Miski

Mierda                  Aca                     Hama

Mina                    Kkoya                   Kkuya

Minero                  Kkoyaruna               Kkuyiri

Mirar                   Kahuana                 Uñjhaña

Mitad                   Kuscan                  Chikata

Moco                    Khoña                   Hurma

Mojado                  Hokgo                   Huri

Moler                   Kutana                  Ppikkaña

Molido                  Kutaskka                Pikkata

Mono                    Kusillu                 Kusillu

Morada                  Tiana                   Uthaña

Morder                  Kanina                  Achjaña

Morder                  Achakkaska              Achucata

Mordido                 Kaniskga                Achjata

Morir                   Wañuna                  Hiuaña

Morise                  Wañupuna                Hiumphaña

Mosca                   Chuspi                  Chichillanka

Mover                   Kayuchina               Unukeyaña

Muchacha                Imilla                  China

Mucho                   Askha                   Ancha

Mudarse                 Astanakuna              Astasiña

Muela                   Kiru                    Aku

Mujer                   Warmi                   Warmi

Mundo                   Kaipacha                Acapacha

Muslo                   Phaca                   Chara
