N

CASTELLANO              QUECHUA                 AYMARA

Nacer                   Yuriy                   Yuriña

Nada                    Mana-imaps              Hani-cunas

Nariz                   Sinkka                  Nasa

Negro                   Yana                    Chchiara

Nervio                  Ancu                    Ancu

Nevar                   Rittina                 Khunuña

Nido                    Thapa                   Thapa

Niebla                  Phuya                   Urpu, khenaya

Nieto                   Alchi                   Alchi

Nieve                   Ritti                   Khuna

Niña                    Imilla                  Imilla

No (Negativo)           Mana                    Haniwa

Noche                   Tuta                    Aruma

Nombre                  Suti                    Suti

Nosotros                Nukkanchis              Hiwasa

Noviembre               Ayamarca                Chinu-Phajhsi

Nube                    Phuyu                   Huyphi

Nublarse                Phuyuycun               Kinayata

Nudo                    Mukku                   Mukku

Nuestro                 Nukkanchispata          Hiwasanqui

Nuevo                   Musujg                  Machakka

Numerar                 Yupana                  Hakjuña

Nunca                   Man-haikijpa            Ni-cunapacha
