O

CASTELLANO              QUECHUA                 AYMARA

Obedecer                Kasuna                  Yupaichaña

Obscuro                 Lakha                   Chamaka

Observado               Khaguaska               Uñchuquita

Observar                Khagauana               Uñchuquiña

Oca                     Okga                    Apilla

Ocho                    Pusajg                  Kirnsa-Kalikku

Ocioso                  Kjella                  Haira

Octubre                 Kantaraikis             Phitiña

Ocultarse               Pacaicuna               Imantasiña

Oculto                  Pakaskka                Imata

Odiado                  Chejgniskga             Uñisita

Odio                    Chejgnina               Uniña

Oeste                   lnti-chinkay            lnti-halanti

Oidor                   Uyarejg                 lschuquiri

Oir                     Uyarina                 lstaña

Ojo                     Nawi                    Nalra

Ojos                    Ñawis                   Naira

Oler                    Muskhina                Mukhiña

Olivo                   Kkulli                  Kulli

Olla                    Manca                   Phucu

Olvidar                 Kgonkgana               Armasiri

Olvido                  Kgonkgay                Arma

Ombligo                 kururu                  kururu

Ordeñar                 Chawana                 Chchauaña

Orejas                  Ningri                  Jinchu

Oriente                 lnti-lojgsiy            lnti-halsu

Origen                  Ticsa                   Ticsi

Orin                    Hispay                  Chchujhu

Oro                     Kgori                   Kuri

Ortiga                  Itapallu                Itapallu

Oso                     Hucumari                Hucumari

Otoño                   Haucaimitta             Caratacu

Otro                    Uajg                    Yakha
