P

CASTELLANO              QUECHUA                 AYMARA

Padecer                 Ttakicuna               Ttakisiña

Padre                   Tata, yaya              Auqui

Pagar                   Manu-kgopuy             Manu-phukaña

Paja                    Ichu                    Chilliwa

Pájaro                  Piskku                  Hamachi

Palabra                 Rimay                   Aru

Palacio                 Khapajg-uasi            Kapaka-uta

Palo                    Kaspi                   Lawa

Paloma                  Urpila                  Huturuncu

Pan                     Ttantta                 Ttantta

Pañal                   Hananta                 Hamacura

Panza                   Wigssa                  Puraca

Papa                    Amkha                   Chchukki

Papagayo                Loritu                  Uritu

Parado                  Sayasga                 Saytta

Pared                   Pirkka                  Pirkka

Parejar                 Kuscachana              Kuscuchnaña

Parejo                  Kusca                   Kusca

Parientes               Llawarmasis             Laris

Parir                   Wawachana               Wawachaña

Párpado                 Chipchi                 Chipchi

Partir                  Chejtana                Chictaña

Pasear                  Puriykachana            Samakkaña

Pastear                 Michina                 Ahuatiña

Pasto                   Hunina                  Kachu

Pata                    Chaqui                  Cayu

Patear                  Jaittana                Takiña

Patio                   Chacha                  Huyu

Pato                    Pili                    Pili

Pecado                  Hucha                   Hucha

Pecar                   Huchachacuna            Huchachasiña

Pedirse                 Mañacuna                Mayisiña

Pedo                    Supi                    Sira

Pegado                  Makkaskka               Nuata

Pegar                   Makgana                 Nuaña

Peinar                  Ñajgchaña               Sanuña

Peine                   Ñajgcha                 Sanu

Pellejo                 Kgara                   Lippichi

Pellizcar               Kichina                 Kichiña

Pelo                    Chujgcha                Ñikuta

Pena                    Llaqui                  Llaqui

Peña                    Orkku                   Kharkka

Penar                   Llaquicuna              Llaquisiña

Pensar                  Yuyaychacuna            Amakasiña

Pepita                  Chira                   Chira

Pequeño                 Huchuy                  Hiskka

Perdido                 Chinkaskga              Chakata

Perdiz                  Ppisaka                 Yutu

Perdonar                Panpachana              Panpachaña

Perdonarse              Panpachacuna            Panpachasiña

Pereza                  Kkillacuna              Hairasiña

Perezoso                Kkiliacujg              Hairasiri

Perro                   Alkgo                   Anu

Persona                 Runa                    Hakki

Pesado                  Llasa                   Hathi

Pescado                 Chaulla                 Chaulla

Pescuezo                Cunca                   Cunca

Picante                 Haya                    Haru

Picar                   Churuna                 Churuña

Picotear                Chapchana               Chapchaña

Pie                     Chaqui                  Cayu

Piedra                  Rumi                    Kkala

Piel                    Kkara                   Lippichi

Piña                    Achupaya                Achupaya

Pinchar                 Allana                  Hunuña

Pincharse               Allacuna                Hunusiña

Piojo                   Usa                     Lappa

Piojoso                 Usarara                 Lapparara

Pisado                  Saruska                 Taquita

Pisar                   Saruna                  Taquiña

Planta                  Ali                     Airu

Plato                   Chua                    Kiru

Playa                   Challacu                Challacu

Plaza                   Catu                    Pampa

Plomo                   Titi                    Chantaca

Pluma                   Phuru                   Phuyu

Poco                    Pisi                    Huka

Podrido                 Ismuskka                Ñusata

Polilla                 Thutha                  Thatha

Polvo                   Tuurmi                  Tuurmi

Poner                   Churay                  Uscuña

Porque                  Imamanta                Cunata

Pozo                    Phujhu                  Phujhu

Pradera                 Huaylla                 Huayllu

Precio                  Yucaña                  Chani

Preguntar               Tapuna                  Hiskhiña, Hiktaña

Preñada                 Chichu                  Hapi

Prendedor               Topo                    Tupu

Preocupado              Llaquiskga              Piki-Apamucuta

Prestar                 Mañarina                Maittaña

Prestarse               Mañaricuna              Maitasiña

Primero                 Ñaupa                   Naira

Prisa                   Uskjgay                 Makgiki

Probar                  Mallina                 Yanaña

Procreador              Mirachijg               Mirayiri

Profesor                Yachachijg              Yatichiri

Prójimo                 Runa-masi               Hakki-masi

Provincia               Suyu                    Ayllu

Próximo                 Kkailla                 Haka

Prueba                  Llamirina               Yanttaña

Puchero                 Kamilu                  Chamillicu

Pueblo                  Llajta                  Marca

Puente                  Chaca                   Palau

Puerco                  Khuchi                  Khuchi

Puerta                  Puncu                   Puncu

Pulga                   Piki                    Kuti

Pulmón                  Kiuchua                 Kichua

Punta                   Witu                    Witu

Punzar                  Thojsina                Hunuña
