Q

CASTELLANO              QUECHUA                 AYMARA

Que                     Ima                     Cuna

Quebrado                Ppaquiskka              Ppaquita

Quebrar                 Ppaquina                Ppaquina

Quejarse                Aikkuna                 Aikkuña

Quemar                  Ruphachina              Nakhayaña

Querer                  Munana                  Munaña

Quererse                Munacuna                Munasiña

Querido                 Munaskka                Munata

Quién                   Pi                      Quitisa

Quijada                 Kapa                    Tirankaya

Quitar                  Kkechuna                Apakaña

Quizá                   Ichas                   Inhajha
