R

CASTELLANO              QUECHUA                 AYMARA

Rabia                   Phiña                   Kapi

Rabo                    Chupa                   Wichinca

Raiz                    Saphi                   Saphi

Rallar                  Kallana                 Kallaña


Rama                    Kallaskka               Kallata

Rana                    Kkaira                  Kkaira

Rápido                  Uskhay                  Hanka

Rascar                  Raskhana                Hattiña

Rasgado                 Llikiskka               Chiata

Rasguñar                Llauchina               Llauchiña

Rasurar                 Mururana                Mururaña

Rata                    Jatun jukucha           Hacha achacu

Ratero                  Sua                     Lunthata

Ratón                   Jukucha                 Achaku

Rayo                    Illapu                  Illapu

Rebalsar                Phullchina              Phullchiña

Rebaño                  Llica                   Llica

Rebentar                Thukyana                Pallana

Recibir                 Happina                 Catukaña

Recién                  Kunallan                Hichchaqui

Recoger                 Pallarina               Apthapiña

Recordar                Yuyarina                Amtaña

Recto                   Chegan                  Chikka

Recuerdo                Yuyarikuna              Amta

Red                     Sakkana                 Sakkana

Redondo                 Muyu                    Muyu

Refregar                Kkukkuna                Kkakkaña

Regado                  Kkarpaska               Chajgchuta

Regalar                 Waktana                 Waktaña

Regocijo                Kusicuna                Cusisiña

Regresar                Kutina                  Cuttaña

Reinar                  Khapakkana              Malcuña

Reir                    Assina                  Laruña

Relucir                 Llimpi                  Pallchaña

Remedar                 Yachapayana             Yhapayata

Remediar                Allichaña               Apayaña

Remojar                 Chulluchina             Chulluchiña

Renacuajo               Okhollu                 Hukkullu

Renegar                 Phiñacuna               Kapisiña

Reñir                   Kamina                  Tukkiña

Reñirse                 Kaminacuna              Laquita

Repleto                 Huntta                  Phukka

Resbalar                Llusttana               Liusttaña

Resbalarse              Llustacuna              Llustasiña

Respetar                Yupaichata              Yupaichata

Respirar                Samay                   Samña

Resplandecer            Llippijg                Lliphipi

Restituir               Kutichina               Cutiaña

Reunido                 Tantaskka               Tantata

Reunirse                Tantacuna               Tantasiña

Reventar                Tthugyan                Phallaña

Revivir                 Kausarina               Hactaña

Revolcarse              Sunticuna               Suntisiña

Rey                     Inca                    Mallku

Rico                    Khapajg                 Kkamiri

Rincón                  Kuchu                   Kuchu

Riñones                 Maimuru                 Maimuru

Rio                     Mayu                    Hawira

Risa                    Asiy                    Laru

Robar                   Suana                   Lunthataña

Roca                    Chanka                  Karka

Rocio                   Sulla                   Sulla-sulla

Rodilla                 Mokgo                   Kkunkkuri

Rogar                   Achicana                Hampatiña

Rojo                    Puca                    Wila-Chipica

Romaza                  Kkintu                  Kkintu

Romper                  Ppakkina                Ppaquiña

Roncar                  Khorgona                Cultaña

Ronco                   Chajha                  Chajha

Ropa                    Ppacha                  Isi

Rostro                  Uya                     Ajhanu

Roto                    Ppaquiskka              Pquita

Rueca                   Phusca                  Phiruña

Ruiseñor                Chchukululu             Chirikaña
