S

CASTELLANO              QUECHUA                 AYMARA

Saber                   Yachana                 Yatina

Sabio                   Amautta                 Amautta

Sacar                   Orkgona                 Apsuña

Sacate                  Orkgocuy                Apsusim

Sacerdote               Uillca, Tatacura        Uillca

Saciar                  Sajsana                 Sisaña

Sacudir                 Thalana                 Thalaña, Thalsuña

Sal                     Kachi                   Hayu

Salado                  Kachichaskka, Khara     Hayuchata

Salir                   Llojgsina               Mistuña

Saliva                  Thokkay                 Thusunkaya

Salpicar                Chiltichina             Chiltiyaña

Saltar                  Ppinkina                Ttiscuña

Saludar                 Napaicuna               Arumtaña

Salvaje                 Chunchu                 Chunchu

Sanarse                 Thañiskga               Kkumaraña

Sandalia                Hukuta                  Huiskhu

Sangrar                 Llawarana               Wilaña

Sangre                  Llawar                  Wila

Sapo                    Hamppatu                Karachi

Sartén                  Paila                   Sacamaca

Secar                   Chaquichina             Uañachina

Seco                    Chchaki                 Uaña

Secreto                 Chin-cana               Yawiña

Sed                     Chchaqui                Phara

Seguir                  Kkatina                 Hamasata

Sembrado                Tarpuskka               Satata

Sembrar                 Tarpuna                 Sataña, Yapuchaña

Semilla                 Muju                    Hatha

Señor                   Wiraihucha              Apu

Señora                  Palla                   Palla

Sentado                 Tiaskka                 Kkunuta

Sentarse                Tiakuna                 Kkuntaña

Separado                Ttipiskka               Haljtayata

Separar                 Ttipichina              Haljtayaña

Septiembre              Ppuskkusikis            Hacha-chiri

Serpiente               Katari                  Asiru

Seso                    Ñojthu                  Lijgwi

Si                      Ari                     Hisa

Siembra                 Tarpuy                  Hatha

Siempre                 Wiñay                   Wiñaya

Silencio                Chin                    Amuki

Sobar                   Kgapina                 Kkapiña

Sobra                   Puchu                   Puchu

Sobre                   Patam                   Pata

Sol                     Inti                    Llinti

Soldado                 Tankar                  Ayahuiri

Solicitar               Achicana                Sartasiña

Solo                    Sapa                    Sapa

Soltar                  Kacharina               Antutaña

Soltarse                Kacharicuna             Antutasiña

Sombra                  Llanthu                 Chichinh

Soñar                   Muskkucuna              Samcasiña

Soplar                  Phucuna                 Pphusaña

Soplo                   Phucuy                  Phusa

Sordo                   Hokgara                 Ukkara

Suave                   Kgoñu                   Hasa

Suavizar                Kgoñuchana              Hasaña

Subir                   Wicharina               Makhataña

Sublevarse              Okharikuna              Aptaña

Sucio                   Chijlli                 Kkañu

Sud                     Intillokke              Ainacha inti

Sudar                   Humppina                Humppina

Sudor                   Humppi                  Humppi

Suelo                   Pampa                   Orakke

Sufrir                  Phutiina                Muttusiña

Susto                   Manchay                 Sustigasiña
