T

CASTELLANO              QUECHUA                 AYMARA

Tabaco                  Sairi                   Sairi

Tambor                  Huancar                 Huankkara

Tampoco                 Manaraigtajg            Haniraqui

Tarde                   Chisiyajg               Haippu

Tejer                   Phitana                 Phitaña

Tela                    Kuyu                    Kuyu

Telar                   Ahuana                  Sayuña

Temblar                 Kharkhatina             Kharkatisa

Temer                   Manchachicuy            Ajgsaraña

Temprano                Tutamanta               Alhuata

Tender                  Mastay                  Hanttacuña

Tendido                 Masttaskka              Hanttacuta

Tentación               Uatikkana               Uattikkaña

Terciana                Chujgchu                Chujgchu

Terco                   Tarama                  Tarma

Terminar                Tucuchana               Tucuyaña

Terminarse              Tucucuna                Tucusiña

Terrible                Manchana                Ajgsarcaña

Tesar                   Mattina                 Hiaña

Tesoro                  Kkinaco                 Kinacu

Testículo               Kgorota                 Kkuruta

Teta                    Ñuñu                    Ñuñu

Tia                     Ipa                     Ipalita

Tibio                   Llaphi                  Llaphi

Tiempo                  Pacha                   Pacha

Tierra                  Hallpa                  Lakka

Tieso                   Thuru                   Thuru

Tímido                  Ppinkkacuj              Ajgsariri

Tinieblas               Lajha                   Chchamaca

Tirar                   Chokgana                Hakkuña

Todos                   Tukuinin                Takkini

Toldo                   Karpa                   Karpa

Tomar                   Ujhyana                 Umaña

Tonto                   Pisi-uma                Amui-huisa

Torcer                  Mismina                 Mismiña

Tordo                   Chiuancu                Chiwancu

Torre                   Pucara                  Pucara

Torrón                  Kkurpa                  Thula

Tostado                 Hanka                   Hampi

Tostar                  Hankana                 Hamppiña

Totora                  Matara                  Matara

Trabajar                Llankana                Imakaña

Trabajo                 Llankay                 Imakkata

Traer                   Apamuna                 Aptaña

Tragar                  Okgona                  Thathana

Tragón                  Okgoj                   Thatiri

Traje                   Ppacha                  Isi

Tramar                  Kkepana                 Kkipaña

Trampa                  Sipita                  Sipita

Transportar             Apaycachana             Apañakaña

Trapo                   Thantha                 Thantaha

Trasladar               Astai                   Astaña

Trasladarse             Astacuna                Astasiña

Traspasar               Pasachina               Pasayaña

Trenza                  Pichica                 Pichica

Trenzar                 Simppana                Kanaña

Tres                    Kinsa                   Quimsa

Tribu                   Ayllu                   Ayllu

Tribuna                 Aruapa                  Aruapa

Tripa                   Chunchulla              Hiphillanaka

Triste                  Llaquiskka              Phutita

Tristeza                Llaquicuna              Phutisiña

Tronco                  Kullu                   Kullu

Tú                      Kgan                    Huma

Tuétano                 Palpa                   Palapa

Tumbar                  Urmachina               Tijgpaña

Tumor                   Tukka                   Tkja

Turbado                 Musphachiska            Musphayata

Turbio                  Kkonchu                 Kkunchu
