a,certainly
a,then
a,(vocal phoneme of the quechua language)
a!, aa!
a-ari,clear
abahiñu,purple skinned potato
abansay,to advance
abas,broad bean
abas kuta, abas hak'u
abaspa tuktun,bean flower
abi,bird
abiha,bee
abiyay,to equip
abiyu,cold meal
abril,April
abugadu,lawyer
abunu,fertilizer (from Spanish abono
abusay,to rape
abuta,"abuta; velvet leaf; kind of medicinal plant, main uses: fever, diabetes, malaria, menstural cramps, ulcers, pain killer, dental pain killer etc."
acha,dishevelled
achá,certainly (in answers)
achacha,toy
achachachinakuy,to heat up
achachachiy,to heat
achachakuy,to feal heat
Achachallawya!,How terrible!
achachaq,hot
Achachaw!,What a pity!
Achachaw!,What a heat!
Achachaw!,ouch!
Achachay!,How cold!
Achachay!,How horrifying!
achachay,something frightening
achachay,to be hot
achachi,old man
achachilasa,ancestors
achachilla,marvel
achachha,spelling-book
achaka,toy
achákala,spelling-book
achakana,kind of cactus
Achakaw!,Ouch!
achakawka,opossum
achakay!,How fearful!
achaki,pretext
achakita churay,call upon a pretext
achakiy,to say one thing and do something else
achaku,opossum
achala,ornament
achalachiy,to adorn
achalakuy,to adorn
achalasqa,adorned
Achalaw!,How pretty!
achalayki,luxury
achanqaray,begonia
achapay,to tousle
achaqay,to bite
achari,certainly (in answers)
achay,heat
achay,that (emphatic)
achay,to be hot
achay,to crack an egg
achi,certainly
achichin,witch
achik,light
achik,light
achikachikuq,lamp
achikay,to ask for
achiklla,clean
achiksamaytu,ozone
achiku,naked
achikyachiy,to clarify
achikyakuy,to shine
achikyaq,light
achikyay,dawn
achikyay,to dawn
achikyay,to shine
achikyay,to brighten
Achil,prekichwa name of god
Achil Tayta,Father Atsil (god)
Achil Yaya,Father Atsil (god)
achi mama,godmother
achipsa,"thin, dry stalk used as wick"
achira,"kind of plant with broad leaves and yellow flowers; plant like the potato; plant, seeds used in red dye"
achis,so-called sesame
achita,a grain or cereal similar to quinua
achi tayta,godfather
achiusa,sneeze
achiusay,to sneeze
achiwa,small parasol
achiwa-achiwa,kind of shrub whose leaves are used for blue dye
achi wawa,godchild
achiwiti,"kind of tree; plant, red paint or dye made from seeds; lipstick tree"
achiy,to enjoy
achiy,to poke
achiyá,yes indeed
achiyari,possibly
achiyay,to sneeze
achi yaya,godfather
achka,a lot
achkachay,to abound
achkachay,to increase
achkam,most
achkanyay hayñikuna,collective rights
achka qullqipaq rantisqa ñin,he (she) says he (she) has bought for a lot of money
achka qullqipi qhaturiq,expensive
achka qullqi waliq,expensive
achka runa,crowd
achkash,lamb
achkata,much
achka tiyay,to abound
achka t'asla,polyhedron
achka uya,polyhedron
Achkay,witch
achkayachiq,who makes increases
achkayachiy,to increase
achkayay,to increase
achka yupa,plural
achki,light
achkikuq,lamp
achkina,lantern
achkiy,shine
achkiy,to brighten
achku,very fine firewood
achkukuy,to grasp something for oneself
achkuy,to grasp
achkuy,to scrape
achmikuq,hoe
achmiy,to earth up a plant first time
achpay,to climb
achpaykachay,to climb around
achqay,to earth up a plant first time
achu,straw
achu,armadillo
achucha,"pallay motif in weaving (Bolivia, meaning unclear)"
achuchiy,to make someone carry something between the teeth
achukay,to run
achuma qhiwillu,a type of cactus
achuni,South American coati
achuni sananku,kind of medicinal plant of the jungle
