Hanan Runasimi,English,Ima simi,Español,Qusqu,Qosqo,Aymara
a,certainly; surely,adv.afirm.,seguramente; indudablemente; sí; seguro; pues,,,
a,then; so; well; then (abbreviated form of ari),adv.m.,pues,a,a,
a,(vocal phoneme of the quechua language),fon.,"(fonema vocálico abierto bajo central del idioma quechua); (vocal abierta, baja central); (vocal abierta, central y la de mayor frecuencia); (vocal baja central no redondeada); /a/ vocal baja central",a,a,
a!; aa!,oh!; yes!,interj.,¡oh!; ¡si!,,,
a-ari,clear,adv.m.,claro,,,
abahiñu,purple skinned potato,s.(esp),papa morada pelada,,,
abansay,to advance,v.intr.(esp),avanzar,,,
abas,broad bean,s.(bot)(esp),haba; habas,,,
abas kuta; abas hak'u,flour of broad beans,s.(p.esp),harina de habas,,,
abaspa tuktun,bean flower; fabric that resembles bean flowers,s.(p.esp),flor de haba; tejido que se parece a la flor de haba,,,
abi,bird,s.(zoo)(esp),ave; pájaro,,,
abiha,bee,s.(zoo)(esp),abeja,,,
abiyay,to equip; to give someone the necessary for a voyage,v.tr.(esp),aviar; dar a alguien lo necesario para un viaje,,,
abiyu,cold meal; provisions; advance on wages,s.(esp),avío; comida fría,,,
abril,April,s.(mes)(esp),abril,abril,abril,
abugadu,lawyer,s.(esp),abogado,,,
abunu,fertilizer (from Spanish abono; which actually derives from Quechua wanu),s.(agr)(esp),abono,,,
abusay,to rape; to violate (sexual violence),v.tr.(esp),abusar; violar (sexual),,,
abuta,"abuta; velvet leaf; kind of medicinal plant, main uses: fever, diabetes, malaria, menstural cramps, ulcers, pain killer, dental pain killer etc.",s.(bot)(amz),"abuta; barbasco; especie de planta medicinal, usos principales: calentura, diabetes, malaria, espasmos menstruales, úlceras, analgético, analgético dental etc.",,,
acha,dishevelled,adj.,despeinado,,,
achá,certainly (in answers); surely (in answers); possibly (in answers),adv.afirm.,seguramente (en la respuesta); posiblemente (en la respuesta); ciertamente,,,
achacha,toy,s.,juguete,achacha,achacha,anataña
achachachinakuy,to heat up; to warm up,v.recip.,darse calor; calentarse,,,
achachachiy,to heat; to warm; to heat up; to warm up,v.tr.,calentar; dar calor,,,
achachakuy,to feal heat; to be hot,v.pron.(enfat.),sentir calor; hacer calor,,,
